,ev_city,ev_country,ev_state,latitude,longitude
10385,MANTA          ,EC,,,
10406,Madrid,SP,,,
10412,Tecpan,GT,,,
10421,SAUK VILLAGE   ,USA,IL,,
10428,DENVER         ,USA,CO,,
10454,HOOVER DAM,USA,AZ,,
10455,Machiques,VE,,,
10480,Kabul,AF,,,
10482,Memphis,USA,TN,,
10524,Moixent,SP,,,
10530,Paris,FR,,,
10544,San Luis Potosi,MX,,,
10581,Baie-Comeau,CA,QC,,
10585,APPLETON       ,USA,WI,,
10587,AMBER BAY      ,USA,AK,,
10620,BURNS          ,USA,OR,,
10621,St. Louis,USA,MO,,
10644,BISHOP         ,USA,CA,,
10665,TAOS           ,USA,NM,,
10721,SANTA ROSA ISL ,USA,CA,,
10725,Prince George,CA,,,
10741,AUSTIN         ,USA,NV,,
10783,URUAPAN        ,MX,,,
10793,MIAZAL         ,EC,,,
10797,DFW AIRPORT    ,USA,TX,,
10803,Panama City,PM,,,
10846,Newquay,UK,,,
10926,ATLANTA,USA,GA,,
10930,TWO MOON BAY   ,USA,AK,,
10947,Subic Bay,RP,,,
10963,ROCK SPRINGS   ,USA,WY,,
10985,PUNTILLA LAKE  ,USA,AK,,
11016,MANCHESTER     ,USA,NH,,
11019,DILLON         ,USA,MT,,
11023,BERING RIVER   ,USA,AK,,
11033,Meranges,SP,,,
11068,DENVER         ,USA,CO,,
11131,Rio Sidra,PM,,,
11153,Guipuzcoa,SP,,,
11161,CROOKED CREEK  ,USA,AK,,
11177,"Cafasse, Torino",IT,,,
11221,Medan,ID,,,
11235,VOLCANO        ,USA,HI,,
11262,BOSTON         ,USA,MA,,
11269,Eberebruum,GE,,,
11277,BANJUL         ,GA,,,
11278,Shreveport,USA,LA,,
11315,42NM ESE OF YAK,USA,AK,,
11316,Libreville,GB,,,
11318,SAN JUAN       ,,PR,,
11348,Lausanne,SZ,,,
11353,"Langara Lodge, BC, Canada",CA,,,
11365,SCAMMON BAY    ,USA,AK,,
11370,MASON CITY     ,USA,IA,,
11381,CAMERON        ,USA,LA,,
11409,BRAINERD       ,USA,MN,,
11433,KONGIGANAK     ,USA,AK,,
11450,MCCOOK         ,USA,NE,,
11458,TANZANIA       ,SU,,,
11479,Celaya,MX,,,
11489,HOMER          ,USA,AK,,
11505,GT. HARBOUR CAY,BF,,,
11519,,SZ,,,
11526,CROOKED CREEK  ,USA,AK,,
11534,Coupar Angus,UK,,,
11537,ATLANTIC OCEAN ,,AO,,
11542,SAN JUAN       ,,PR,,
11551,MOUNTAIN SPRING,USA,NV,,
11583,Las Bocas,MX,,,
11598,Nashville,USA,TN,,
11617,WINDSOR LOCKS  ,USA,CT,,
11693,SCAMMON BAY    ,USA,AK,,
11752,MOOSE CREEK    ,USA,ID,,
11753,New Delhi,IN,,,
11764,LEBEC          ,USA,CA,,
11765,LOS ANGELES    ,USA,CA,,
11775,PERU           ,USA,IL,,
11779,TAMPA          ,USA,FL,,
11869,CHAMPAGNE      ,USA,IL,,
11878,Grammatikos,GR,,,
11901,ST THOMAS      ,,VI,,
11973,ANCHORAGE      ,USA,AK,,
11982,Houston,USA,TX,,
11987,NORTH CANTON   ,USA,OH,,
11988,COVINGTON      ,USA,KY,,
11990,Himeville,SF,,,
11991,High Island 138,USA,GM,,
11993,"Madang, Papua New Guinea",PP,,,
12001,Dillingham,USA,AK,,
12009,NASHVILLE      ,USA,TN,,
12011,VAN,TU,,,
12023,HEALY          ,USA,AK,,
12027,Georgetown,GY,,,
12041,Guayaquil,EC,,,
12048,COVINGTON      ,USA,KY,,
12121,ENGLEWOOD      ,USA,CO,,
12180,MARION         ,USA,IL,,
12187,BARROW         ,USA,AK,,
12198,MOULTONBORO    ,USA,NH,,
12245,TYLER          ,USA,TX,,
12268,MISSION        ,USA,KS,,
12274,,PK,,,
12289,BIRMINGHAM     ,USA,AL,,
12337,SAINT MARY'S   ,USA,AK,,
12354,Commune de Brethencourt,FR,,,
12355,EUGENE IS. 193 ,,GM,,
12357,CHESTERFIELD   ,USA,NH,,
12382,PRINCETON      ,USA,MO,,
12395,SODA SPRINGS   ,USA,ID,,
12406,JAMAICA        ,USA,NY,,
12421,ELK CITY       ,USA,ID,,
12437,Las Vegas,USA,NV,,
12450,MOUNT BALDY    ,USA,ID,,
12452,LACONIA        ,USA,NH,,
12467,COOPER LANDING ,USA,AK,,
12499,PORTLAND       ,USA,OR,,
12572,CHEVAK         ,USA,AK,,
12577,SAIPAN         ,,PO,,
12589,Jacksonville,USA,FL,,
12593,ORLANDO        ,USA,FL,,
12595,LAKE BUTLER    ,USA,FL,,
12635,CORTEZ         ,USA,CO,,
12664,ANDYTOWN       ,USA,FL,,
12692,Speichersdorf,GE,,,
12696,LITTLE DELTA RV,USA,AK,,
12728,Kulusuk,GL,,,
12812,ASPEN          ,USA,CO,,
12827,HONOLULU       ,USA,HI,,
12855,ISTANBUL       ,TU,,,
12891,CHENEGA BAY    ,USA,AK,,
12898,ARUSHA,TZ,,,
12899,RUSSIAN MISSION,USA,AK,,
12904,"Powys, Wales, United Kingdom",UK,,,
12906,LA VERTIENTE   ,BL,,,
12920,ATLANTA        ,USA,GA,,
12922,Quepos,CS,,,
